check_id,engine,category,priority,title,scope,cost,pass,source,min_version,max_version,run_on,requires,platform_skip,platform_priority,fix_effort,fix_risk,condition,thresholds,reads,ref,docs_url,status,since,superseded_by,threshold_changed
MY-MEM-009,mariadb,MEM,50,Query cache enabled,setting,0,fast,sql,,,any,,,,S,low,query_cache_type not OFF with a non-zero query_cache_size.,threads_running=8,"@dbt_v_query_cache_type, @dbt_v_query_cache_size, @dbt_s_threads_running",reference/checks-mysql.md#my-mem-009,https://mariadb.com/kb/en/query-cache/,active,0.1.0,,
MY-WAL-004,mariadb,WAL,100,Checkpoint age near redo capacity,cluster,0,fast,sql,,,any,,,,M,med,Checkpoint age >= 75% of its maximum.,checkpoint_age_ratio=0.75,"@dbt_s_innodb_checkpoint_age, @dbt_s_innodb_checkpoint_max_age",reference/checks-mysql.md#my-wal-004,https://mariadb.com/kb/en/innodb-status-variables/,active,0.1.0,,
MY-QRY-016,mariadb,QRY,240,Per-account workload profile (MariaDB user statistics),role,1,inventory,sql,,,any,,,,S,low,Always emitted when userstat is ON.,top_n=15,"information_schema.USER_STATISTICS, @dbt_v_userstat",reference/checks-mysql.md#my-qry-016,https://mariadb.com/kb/en/user-statistics/,active,0.1.0,,
MY-CORR-001,mysql,CORR,1,InnoDB corruption messages in the error log,host,2,deep,sql,,,any,SELECT ON performance_schema.*,rds;aurora;cloudsql;azure,,L,high,InnoDB integrity messages in performance_schema.error_log within the lookback window.,lookback_hours=168,performance_schema.error_log,reference/checks-mysql.md#my-corr-001,https://dev.mysql.com/doc/refman/8.4/en/error-log.html,active,0.1.0,,
MY-REPL-003,mysql,REPL,5,Replica lag over 5 minutes,replica,0,fast,sql,8.0,,standby,SELECT ON performance_schema.*,,,M,low,Applier lag >= 300 s.,lag_critical_seconds=300;lag_warn_seconds=30,@dbt_repl_lag_s / @dbt_repl_lag_src (01_session.sql §6c),reference/checks-mysql.md#my-repl-003,https://dev.mysql.com/doc/refman/8.4/en/replication-administration-status.html,active,0.1.0,,
MY-REPL-010,mysql,REPL,5,Group Replication member not ONLINE,cluster,0,fast,sql,5.7.17,,any,SELECT ON performance_schema.*,,,M,high,"A group member is not ONLINE, or the group has fewer than 3 members.",min_members=3,performance_schema.replication_group_members,reference/checks-mysql.md#my-repl-010,https://dev.mysql.com/doc/refman/8.4/en/group-replication-monitoring.html,active,0.1.0,,
MY-CORR-002,mysql,CORR,20,Crash-recovery messages in the error log,host,2,deep,sql,,,any,SELECT ON performance_schema.*,rds;aurora;cloudsql;azure,,M,low,Crash or unclean-shutdown messages in performance_schema.error_log.,lookback_hours=168,performance_schema.error_log,reference/checks-mysql.md#my-corr-002,https://dev.mysql.com/doc/refman/8.4/en/error-log.html,active,0.1.0,,
MY-REPL-016,mysql,REPL,20,GTID set has gaps,cluster,0,fast,sql,5.6,,any,,,,L,high,gtid_executed contains more intervals than source UUIDs.,,"@dbt_v_gtid_executed, @dbt_v_gtid_purged",reference/checks-mysql.md#my-repl-016,https://dev.mysql.com/doc/refman/8.4/en/replication-gtids-concepts.html,active,0.1.0,,
MY-REPL-004,mysql,REPL,50,Replica lag over 30 seconds,replica,0,fast,sql,8.0,,standby,SELECT ON performance_schema.*,,,M,low,Applier lag >= 30 s and < 300 s.,lag_warn_seconds=30;lag_critical_seconds=300,@dbt_repl_lag_s / @dbt_repl_lag_src,reference/checks-mysql.md#my-repl-004,https://dev.mysql.com/doc/refman/8.4/en/replication-administration-status.html,active,0.1.0,,
MY-REL-010,mysql,REL,100,Persisted variables override the configuration files,setting,0,fast,sql,8.0,,any,SELECT ON performance_schema.*,rds;aurora;cloudsql;azure,,S,med,A persisted variable overrides a file-sourced value.,,"performance_schema.persisted_variables, performance_schema.variables_info",reference/checks-mysql.md#my-rel-010,https://dev.mysql.com/doc/refman/8.4/en/persisted-system-variables.html,active,0.1.0,,
