check_id,engine,category,priority,title,scope,cost,pass,source,min_version,max_version,run_on,requires,platform_skip,platform_priority,fix_effort,fix_risk,condition,thresholds,reads,ref,docs_url,status,since,superseded_by,threshold_changed
PG-SEC-012,postgresql,SEC,0,pg_hba.conf not readable: authentication exposure unverified,cluster,0,fast,derived,10,,any,,,,S,low,"Reading pg_hba_file_rules raised a permission error or the view is unavailable, so SEC-001, 002, 003, 006 and 007 are blind. Emitted in the META band so the reader knows.",,pg_hba_file_rules,reference/checks-postgres.md#pg-sec-012,https://www.postgresql.org/docs/current/auth-pg-hba-conf.html,active,0.1.0,,
PG-BAK-001,postgresql,BAK,1,No WAL archiving: point-in-time recovery impossible,setting,0,fast,sql,,,primary,,rds;aurora;cloudsql;azure;supabase;neon;crunchy;timescale;alloydb;heroku,,M,low,"archive_mode = off on a self-managed primary. Skipped on managed platforms, where BAK-010 fires instead. Confidence medium: snapshot-based strategies exist, but pg_dump alone is not PITR.",,pg_settings,reference/checks-postgres.md#pg-bak-001,https://www.postgresql.org/docs/current/continuous-archiving.html,active,0.1.0,,
PG-BAK-002,postgresql,BAK,1,archive_command is failing,cluster,0,fast,sql,9.4,,primary,,,,S,low,"pg_stat_archiver.failed_count > 0 AND last_failed_time > coalesce(last_archived_time, -infinity). WAL cannot be recycled, pg_wal grows, and the server eventually PANICs when the volume fills.",,pg_stat_archiver,reference/checks-postgres.md#pg-bak-002,https://www.postgresql.org/docs/current/runtime-config-wal.html#RUNTIME-CONFIG-WAL-ARCHIVING,active,0.1.0,,
PG-BAK-003,postgresql,BAK,1,WAL archiving stalled,cluster,1,fast,sql,12,,primary,pg_monitor,,,S,low,"archive_mode is on and either at least 10 .ready files are queued in pg_wal/archive_status, or archive_mode is on with a non-zero archive_timeout and last_archived_time is older than max(1 h, 3 x archive_timeout).",ready_files=10;stall_seconds=3600,"pg_stat_archiver, pg_ls_archive_statusdir(), pg_current_wal_lsn()",reference/checks-postgres.md#pg-bak-003,https://www.postgresql.org/docs/current/runtime-config-wal.html#RUNTIME-CONFIG-WAL-ARCHIVING,active,0.1.0,,
PG-BAK-004,postgresql,BAK,1,archive_command is a no-op (WAL archived to nowhere),setting,0,fast,sql,,,primary,,,,S,low,"archive_mode is on and archive_command matches an effective no-op: 'true', '/bin/true', ':', 'exit 0', 'cd .', or a comment. Archiving reports success and keeps nothing.",,pg_settings,reference/checks-postgres.md#pg-bak-004,https://www.postgresql.org/docs/current/runtime-config-wal.html#RUNTIME-CONFIG-WAL-ARCHIVING,active,0.1.0,,
PG-BAK-008,postgresql,BAK,1,Last successful base backup unknown or older than 7 days,cluster,0,fast,external,,,any,os;interview,,,M,low,"No backup tool output could be read (pgbackrest info, barman list-backups, wal-g backup-list) and the interview question is unanswered, so this fires with confidence low and details 'unverified'; or a tool reported the newest full/incremental as completed 7 or more days ago, or not OK.",backup_age_days=7,"external backup tool output, .db-triage.yml interview",reference/checks-postgres.md#pg-bak-008,https://www.postgresql.org/docs/current/backup.html,active,0.1.0,,
PG-CAP-001,postgresql,CAP,1,Data or WAL volume 90 percent or more full,host,0,fast,os,,,any,os,,,M,high,df of the data directory or of pg_wal (following symlinks) shows 90% or more used. PostgreSQL PANICs when pg_wal cannot extend.,used_fraction=0.90,df of data_directory and pg_wal,reference/checks-postgres.md#pg-cap-001,https://www.postgresql.org/docs/current/diskusage.html,active,0.1.0,,
PG-CORR-001,postgresql,CORR,1,Data checksum failures reported,database,0,fast,sql,12,,any,,,,L,high,"pg_stat_database.checksum_failures > 0 in any database, including the shared-objects row. Reported by the server, not inferred.",,pg_stat_database,reference/checks-postgres.md#pg-corr-001,https://www.postgresql.org/docs/current/checksums.html,active,0.1.0,,
PG-CORR-002,postgresql,CORR,1,zero_damaged_pages enabled,setting,0,fast,sql,,,any,,,,S,low,"zero_damaged_pages = on. Damaged pages are silently replaced with zeros on read, which is silent data loss.",,pg_settings,reference/checks-postgres.md#pg-corr-002,https://www.postgresql.org/docs/current/checksums.html,active,0.1.0,,
PG-CORR-003,postgresql,CORR,1,ignore_checksum_failure enabled,setting,0,fast,sql,,,any,,neon,,S,low,ignore_checksum_failure = on. Checksum mismatches are logged and the page is used anyway.,,pg_settings,reference/checks-postgres.md#pg-corr-003,https://www.postgresql.org/docs/current/checksums.html,active,0.1.0,,
